gender,name
M,Armin Mueller-Stahl
M,Tim Roth
M,James Cromwell
M,Chazz Palminteri
M,Gary Sinise
M,Paul Scofield
M,Pete Postlethwaite
M,Mads Mikkelsen
F,Jada Pinkett Smith
F,Tatum O'Neal
F,Anna Faris
F,Ashley Greene
F,Famke Janssen
F,Rosamund Pike
F,Bonnie Hunt
F,Leslie Mann
F,Mindy Kaling
F,Analeigh Tipton
F,Thandie Newton
F,Amanda Peet
F,Julia Stiles
F,Maria Bello
F,Eva Mendes
F,Emily Blunt
F,Rose Byrne
F,Ashley Judd
F,Emilia Clarke
F,Christina Applegate
F,Nia Long
F,Felicity Jones
F,Téa Leoni
F,Alexandra Daddario
F,Jena Malone
M,Richard Gere
M,Nick Frost
M,Ray Liotta
M,Chris Rock
M,Jon Hamm
M,Neil Patrick Harris
M,Charlie Sheen
M,Mark Rylance
M,Andy Garcia
M,Michael Lerner
M,Graham Greene
M,Bruce Davison
?,Dan Aykroyd
M,Danny Aiello
M,River Phoenix
M,Dean Stockwell
M,Billy Crystal
M,John Goodman
M,Orlando Bloom
M,Stellan Skarsgård
M,Alexander Skarsgård
M,Mike Myers
M,Tyrese Gibson
M,Elijah Wood
M,Danny DeVito
F,Lucy Liu
F,Rebecca Romijn
F,Michelle Rodriguez
F,Sarah Michelle Gellar
?,Beyoncé
F,Rebecca Hall
F,Piper Perabo
F,Courteney Cox
F,Parker Posey
F,Paula Patton
F,Michelle Monaghan
F,Claire Danes
F,Ali Larter
F,Kate Bosworth
F,Evan Rachel Wood
F,Mira Sorvino
F,Ziyi Zhang
F,Amanda Crew
F,Amanda Bynes
F,Lisa Kudrow
F,Neve Campbell
?,Ellen DeGeneres
F,Sofía Vergara
F,Mandy Moore
F,Virginia Madsen
M,James Marsden
M,Tim Allen
M,Giovanni Ribisi
M,Rutger Hauer
?,Vince Vaughn
M,Brian Cox
M,Dennis Quaid
M,John Leguizamo
M,Michael Keaton
M,Billy Burke
M,Brendan Gleeson
M,Clark Gregg
M,Jonathan Pryce
M,Tobey Maguire
M,Michael Sheen
M,Justin Long
M,Kellan Lutz
M,Jack Black
M,Pierce Brosnan
M,Sean Bean
M,Cedric the Entertainer
M,Mahershala Ali
M,Josh Duhamel
?,Jon Favreau
M,Danny Glover
F,Freida Pinto
F,Hilary Duff
F,Mary Elizabeth Winstead
F,Jennifer Coolidge
F,Andrea Riseborough
F,Molly Ringwald
F,January Jones
F,Maya Rudolph
F,Sophie Marceau
F,Olga Kurylenko
F,Franka Potente
F,Rashida Jones
F,Alicia Silverstone
F,Rosie Huntington-Whiteley
F,Lillian Gish
F,Evangeline Lilly
F,Mireille Enos
F,Jennifer Love Hewitt
F,Emmy Rossum
F,Joey King
F,Ginnifer Goodwin
F,Christine Taylor
F,Vanessa Hudgens
F,Abbie Cornish
F,Michelle Yeoh
M,Ian Holm
M,Nathan Lane
M,Cary Elwes
M,Martin Lawrence
M,Steve Coogan
M,Sacha Baron Cohen
M,Jeffrey Wright
M,Jackie Chan
M,Aaron Eckhart
M,Sam Worthington
M,Jack Davenport
M,Alfred Molina
M,Justin Bartha
M,Mark Hamill
M,Brendan Fraser
?,Ice Cube
M,Liev Schreiber
M,Ed Helms
M,Val Kilmer
M,Russell Brand
M,Craig T. Nelson
M,Bernie Mac
M,Patrick Stewart
M,Seth Green
M,Ashton Kutcher
M,Randy Quaid
M,Wesley Snipes
M,David Oyelowo
M,Mark Strong
M,Rob Schneider
M,Jay Baruchel
M,Hayden Christensen
M,Ray Stevenson
M,Paul Bettany
M,Hugh Laurie
M,Chris Tucker
M,Nick Swardson
M,Josh Lucas
M,Chris O'Donnell
M,Benjamin Bratt
M,Common
?,Johnny Knoxville
M,Marlon Wayans
M,Jai Courtney
M,Albert Brooks
M,Macaulay Culkin
M,Sam Elliott
M,Jim Caviezel
M,Paul Scofield
M,Jared Harris
M,Harpo Marx
M,Jason Sudeikis
M,Josh Hartnett
M,Patrick Wilson
M,Cillian Murphy
M,Billy Crudup
M,Christopher Mintz-Plasse
M,Anthony Mackie
M,Timothy Olyphant
M,Josh Gad
M,Luke Wilson
M,Peter Sarsgaard
M,Rhys Ifans
M,Topher Grace
M,Kevin Hart
M,Paul Dano
M,Lenny Kravitz
M,Bill Hader
M,Rob Lowe
M,David Spade
M,Rob Riggle
M,Lance Henriksen
M,Richard Jenkins
M,Mike Vogel
M,Michael Ealy
M,Freddie Prinze Jr.
M,Jamie Bell
M,Danny McBride
M,Jonathan Rhys Meyers
M,Michael Cera
M,Bill Paxton
M,Chris Klein
M,Ioan Gruffudd
M,Andrew Lincoln
M,Bill Pullman
M,Craig Robinson
M,Charlie Day
M,Andy Samberg
M,Garrett Hedlund
M,Cam Gigandet
M,John Krasinski
M,Kevin James
M,Breckin Meyer
M,Christopher Reeve
M,James McAvoy
M,Rufus Sewell
M,Ned Beatty
M,John Cleese
M,John Turturro
M,Jerry Lewis
